date,venue,name,winner,cat
"29 December, 2023 - 7 January, 2024","Perth, Australia",United Cup,,unitedcup
"29 December, 2023 - 7 January, 2024","Sydney, Australia",United Cup,,unitedcup
"31 December, 2023 - 7 January, 2024","Brisbane, Australia",Brisbane International presented by Evie,Grigor Dimitrov,ATP 250
"1 - 7 January, 2024","Hong Kong, Hong Kong",Bank of China Hong Kong Tennis Open,Andrey Rublev,ATP 250
"8 - 13 January, 2024","Adelaide, Australia",Adelaide International,Jiri Lehecka,ATP 250
"8 - 13 January, 2024","Auckland, New Zealand",ASB Classic,Alejandro Tabilo,ATP 250
"14 - 28 January, 2024","Melbourne, Australia",Australian Open,Jannik Sinner,Grand Slam
"29 January - 4 February, 2024","Montpellier, France",Open Sud de France – Montpellier,Alexander Bublik,ATP 250
"1 - 4 February, 2024","Multiple Locations,",Davis Cup Qualifiers,N/A,Davis Cup
"5 - 11 February, 2024","Dallas, United States",Dallas Open,Tommy Paul,ATP 250
"5 - 11 February, 2024","Marseille, France",Open 13 Provence,Ugo Humbert,ATP 250
"5 - 11 February, 2024","Cordoba, Argentina",Cordoba Open,Luciano Darderi,ATP 250
"12 - 18 February, 2024","Rotterdam, Netherlands",ABN AMRO Open,Jannik Sinner,ATP 500
"12 - 18 February, 2024","Delray Beach, United States",Delray Beach Open,Taylor Fritz,ATP 250
"12 - 18 February, 2024","Buenos Aires, Argentina",IEB+ Argentina Open,Facundo Diaz Acosta,ATP 250
"19 - 25 February, 2024","Rio de Janeiro, Brazil",Rio Open presented by Claro,Sebastian Baez,ATP 500
"19 - 24 February, 2024","Doha, Qatar",Qatar ExxonMobil Open,Karen Khachanov,ATP 250
"19 - 24 February, 2024","Los Cabos, Mexico",Mifel Tennis Open by Telcel Oppo,Jordan Thompson,ATP 250
"26 February - 2 March, 2024","Dubai, United Arab Emirates",Dubai Duty Free Tennis Championships,Ugo Humbert,ATP 500
