player,co2,km,tournaments,rank,name,ioc,flag,matches
104745,12.987442908773607,45569.97511850389,14.0,1,Rafael Nadal,ESP,🇪🇸,69
104925,16.459770150967497,57753.57947707893,14.0,2,Novak Djokovic,SRB,🇷🇸,69
103819,20.63682733172759,72409.92046220206,15.0,3,Roger Federer,SUI,🇨🇭,66
106233,21.59141973043524,75759.36747521136,21.0,4,Dominic Thiem,AUT,🇦🇹,69
106421,25.591376951332332,89794.30509239418,22.0,5,Daniil Medvedev,RUS,🇷🇺,80
126774,27.78771974449056,97500.77103330025,28.0,6,Stefanos Tsitsipas,GRE,,80
100644,20.40580962711727,71599.3320249729,25.0,7,Alexander Zverev,GER,🇩🇪,69
126610,24.553508806154564,86152.66247773533,23.0,8,Matteo Berrettini,ITA,🇮🇹,68
105138,23.38671248909999,82058.64031263154,22.0,9,Roberto Bautista Agut,ESP,🇪🇸,65
104792,24.87324095953082,87274.5296825643,21.0,10,Gael Monfils,FRA,🇫🇷,58
105676,24.57798899497763,86238.55787711448,25.0,11,David Goffin,BEL,🇧🇪,64
104926,29.18661482268085,102409.17481642404,24.0,12,Fabio Fognini,ITA,🇮🇹,55
105453,17.197157906650883,60340.90493561715,14.0,13,Kei Nishikori,JPN,🇯🇵,43
106043,28.058268112237705,98450.06355171128,25.0,14,Diego Schwartzman,ARG,🇦🇷,66
133430,24.804641060515536,87033.82828251066,27.0,15,Denis Shapovalov,CAN,🇨🇦,67
104527,17.948830101148697,62978.35123210071,19.0,16,Stan Wawrinka,SUI,🇨🇭,53
111575,26.230039184781436,92035.22520975948,25.0,17,Karen Khachanov,RUS,🇷🇺,59
200282,20.761273079891183,72846.57221014453,22.0,18,Alex De Minaur,AUS,🇦🇺,62
104545,22.07198984865466,77445.57841633214,18.0,19,John Isner,USA,🇺🇸,48
105777,19.421819471718088,68146.7349884845,20.0,20,Grigor Dimitrov,BUL,,44
200000,15.88497216674096,55736.74444470512,20.0,21,Felix Auger Aliassime,CAN,🇨🇦,57
106298,22.999565014446674,80700.22812086553,21.0,22,Lucas Pouille,FRA,🇫🇷,42
126094,20.957857871645363,73536.343409282,19.0,23,Andrey Rublev,RUS,🇷🇺,57
105332,29.546813426012573,103673.02956495638,29.0,24,Benoit Paire,FRA,🇫🇷,63
105550,28.408934141051184,99680.47067035508,25.0,25,Guido Pella,ARG,🇦🇷,62
105932,25.897230211032326,90867.47442467485,24.0,26,Nikoloz Basilashvili,GEO,🇬🇪,52
105807,19.752714371085787,69307.76972310804,22.0,27,Pablo Carreno Busta,ESP,🇪🇸,52
106432,26.50580199098964,93002.8140034724,22.0,28,Borna Coric,CRO,🇭🇷,50
104542,13.1889138793216,46276.89080463719,19.0,29,Jo-Wilfried Tsonga,FRA,🇫🇷,52
106401,17.946349724166197,62969.64815496912,16.0,30,Nick Kyrgios,AUS,🇦🇺,38
105683,18.61222768158556,65306.062040651064,13.0,31,Milos Raonic,CAN,🇨🇦,38
126203,25.211597574006316,88461.74587370639,29.0,32,Taylor Fritz,USA,🇺🇸,62
106426,22.006021901721137,77214.11193586365,24.0,33,Cristian Garin,CHI,🇨🇱,56
105583,21.80704184313995,76515.93629171913,26.0,34,Dusan Lajovic,SRB,🇷🇸,48
105526,25.781769776980813,90462.35009466954,26.0,35,Jan Lennard Struff,GER,🇩🇪,64
124187,19.761956392816707,69340.19786953232,21.0,36,Reilly Opelka,USA,🇺🇸,50
128034,26.485347799567993,92931.0449107649,24.0,37,Hubert Hurkacz,POL,🇵🇱,49
