player,co2,km,tournaments,rank,name,ioc,flag,matches
104053,24.314307193546508,85313.35857384739,23.0,1,Andy Roddick,USA,🇺🇸,91
103819,23.814034062813924,83558.01425548745,22.0,2,Roger Federer,SUI,🇨🇭,96
103507,26.273917837285687,92189.18539398488,20.0,3,Juan Carlos Ferrero,ESP,🇪🇸,88
101736,13.20990355290309,46350.538782116106,13.0,4,Andre Agassi,USA,🇺🇸,57
103909,19.40817977545617,68098.87640510936,21.0,5,Guillermo Coria,ARG,🇦🇷,78
102783,29.798645382437897,104556.65046469438,28.0,6,Rainer Schuettler,GER,🇩🇪,102
102845,25.390911277925102,89090.91676464948,23.0,7,Carlos Moya,ESP,🇪🇸,80
103900,18.96884688831335,66557.35750285385,20.0,8,David Nalbandian,ARG,🇦🇷,63
102882,20.37755868110495,71500.20589861386,18.0,9,Mark Philippoussis,AUS,🇦🇺,58
103206,24.487305111985116,85920.36881398286,21.0,10,Sebastien Grosjean,FRA,🇫🇷,57
103387,24.832104468643553,87130.19111804756,28.0,11,Paradorn Srichaphan,THA,🇹🇭,79
103454,16.066359736771577,56373.19205884764,23.0,12,Nicolas Massu,CHI,🇨🇱,56
102562,26.01909905758843,91295.084412591,27.0,13,Jiri Novak,CZE,🇨🇿,74
101962,21.078719917422564,73960.42076288618,25.0,14,Younes El Aynaoui,MAR,🇲🇦,68
102450,16.412960159454805,57589.33389282388,18.0,15,Tim Henman,GBR,🇬🇧,48
102856,21.151945641345097,74217.35312752666,21.0,16,Gustavo Kuerten,BRA,🇧🇷,63
103720,12.19422395046788,42786.75070339606,13.0,17,Lleyton Hewitt,AUS,🇦🇺,47
102854,26.293464187454532,92257.76907878784,25.0,18,Sjeng Schalken,NED,🇳🇱,66
103280,21.46460238272638,75314.39432535571,24.0,19,Martin Verkerk,NED,🇳🇱,50
103888,20.771908909882654,72883.89091186895,24.0,20,Mardy Fish,USA,🇺🇸,64
103990,21.545828537766543,75599.39837812823,26.0,21,Tommy Robredo,ESP,🇪🇸,64
102456,17.55700567571247,61603.52868671044,22.0,22,Felix Mantilla,ESP,🇪🇸,49
103018,24.28463677027275,85209.25182551841,28.0,23,Max Mirnyi,BLR,🇧🇾,69
102860,17.987152368310298,63112.81532740457,24.0,24,Agustin Calleri,ARG,🇦🇷,57
102610,17.380566997674535,60984.44560587556,19.0,25,Albert Costa,ESP,🇪🇸,44
101965,16.978965115358186,59575.31619423924,19.0,26,Wayne Ferreira,RSA,🇿🇦,45
103151,18.672661937941182,65518.11206295152,24.0,27,Mariano Zabaleta,ARG,🇦🇷,59
103852,23.100056696441836,81052.83051383101,30.0,28,Feliciano Lopez,ESP,🇪🇸,65
102434,27.634383573753475,96962.74938159116,24.0,29,Vincent Spadea,USA,🇺🇸,59
102035,16.085079902692215,56438.87685155163,20.0,30,Jonas Bjorkman,SWE,🇸🇪,53
103096,12.139747615027744,42595.605666764,21.0,31,Arnaud Clement,FRA,🇫🇷,51
104068,17.131157844781985,60109.32577116487,20.0,32,Robby Ginepri,USA,🇺🇸,50
103758,19.664851092031142,68999.47751589876,15.0,33,Taylor Dent,USA,🇺🇸,41
103292,17.876975391879885,62726.22944519258,24.0,34,Gaston Gaudio,ARG,🇦🇷,66
103602,21.6957001800564,76125.26378967156,26.0,35,Fernando Gonzalez,CHI,🇨🇱,62
103813,25.817189204631457,90586.62878818056,29.0,36,Jarkko Nieminen,FIN,🇫🇮,70
