player,co2,km,tournaments,rank,name,ioc,flag,matches
104745,23.74173060898174,83304.31792625172,17.0,1,Rafael Nadal,ESP,🇪🇸,81
103819,20.974409926138033,73594.4207934668,18.0,2,Roger Federer,SUI,🇨🇭,79
104925,23.47893339269729,82382.22243051679,19.0,3,Novak Djokovic,SRB,🇷🇸,81
104918,22.835774785830125,80125.52556431622,19.0,4,Andy Murray,GBR,🇬🇧,64
104417,26.920075810107505,94456.4063512544,23.0,5,Robin Soderling,SWE,🇸🇪,79
104607,21.895611047217027,76826.70542883169,24.0,6,Tomas Berdych,CZE,🇨🇿,71
103970,25.451308763383977,89302.83776625957,23.0,7,David Ferrer,ESP,🇪🇸,84
104053,18.033345496444905,63274.89647875405,18.0,8,Andy Roddick,USA,🇺🇸,66
104269,24.203063138264863,84923.02855531534,23.0,9,Fernando Verdasco,ESP,🇪🇸,65
104022,28.705322785036213,100720.43082468848,21.0,10,Mikhail Youzhny,RUS,🇷🇺,63
103781,29.526797073663573,103602.79674969676,26.0,11,Jurgen Melzer,AUT,🇦🇹,78
104792,22.393561558506484,78573.90020528586,20.0,12,Gael Monfils,FRA,🇫🇷,66
104542,20.372656720701887,71483.00603755048,15.0,13,Jo-Wilfried Tsonga,FRA,🇫🇷,47
105227,27.4782132680197,96414.78339656036,23.0,14,Marin Cilic,CRO,🇭🇷,62
104597,22.01946636075029,77261.2854763168,26.0,15,Nicolas Almagro,ESP,🇪🇸,70
103888,15.625326067249896,54825.70549912245,17.0,16,Mardy Fish,USA,🇺🇸,55
103344,24.09380291002606,84539.65933342479,20.0,17,Ivan Ljubicic,CRO,🇭🇷,46
105023,23.897285918139115,83850.1260285583,26.0,18,Sam Querrey,USA,🇺🇸,63
104545,20.98344073431856,73626.10783971427,22.0,19,John Isner,USA,🇺🇸,62
104571,29.510698358873835,103546.31003113628,28.0,20,Marcos Baghdatis,CYP,🇨🇾,70
104527,21.076847713041214,73953.85162470602,18.0,21,Stan Wawrinka,SUI,🇨🇭,55
103786,29.12519462653957,102193.6653562792,20.0,22,Nikolay Davydenko,RUS,🇷🇺,50
103566,24.871480974440914,87268.35429628391,23.0,23,Michael Llodra,FRA,🇫🇷,51
105208,28.217284834128808,99008.01696185552,21.0,24,Ernests Gulbis,LAT,,51
103656,27.69375090156876,97171.05579497808,26.0,25,Albert Montanes,ESP,🇪🇸,62
104338,22.71013012792903,79684.66711554045,19.0,26,Juan Monaco,ARG,🇦🇷,50
103900,12.020736948296486,42178.02437998767,11.0,27,David Nalbandian,ARG,🇦🇷,39
104678,31.928852247684848,112031.06051819243,27.0,28,Viktor Troicki,SRB,🇷🇸,69
103507,15.525815710508448,54476.54635266123,17.0,29,Juan Carlos Ferrero,ESP,🇪🇸,47
104755,23.301717535060728,81760.41240372186,25.0,30,Richard Gasquet,FRA,🇫🇷,62
105064,24.176653700724493,84830.36386219121,25.0,31,Thomaz Bellucci,BRA,🇧🇷,60
103852,26.892308798749205,94358.97824122528,24.0,32,Feliciano Lopez,ESP,🇪🇸,51
104198,31.91784234687253,111992.42928727204,24.0,33,Guillermo Garcia Lopez,ESP,🇪🇸,54
104259,21.60660024395098,75812.63243491571,25.0,34,Philipp Kohlschreiber,GER,🇩🇪,63
104229,27.264669540400227,95665.50715929906,20.0,35,Yen Hsun Lu,TPE,,35
104979,21.010345423188323,73720.51025680115,22.0,36,Andrey Golubev,KAZ,🇰🇿,45
104252,21.8852457621998,76790.3360077186,19.0,37,Florian Mayer,GER,🇩🇪,42
103428,21.768770600980815,76381.6512315116,26.0,38,Juan Ignacio Chela,ARG,🇦🇷,52
103813,26.10305766481982,91589.67601691166,27.0,39,Jarkko Nieminen,FIN,🇫🇮,58
104797,31.90091552403552,111933.03692644044,29.0,40,Denis Istomin,UZB,🇺🇿,61
