player,co2,km,tournaments,rank,name,ioc,flag,matches
104925,20.497806506077,71922.12809149828,17.0,1,Novak Djokovic,SRB,🇷🇸,87
103819,25.90212287428296,90884.64166415074,17.0,2,Roger Federer,SUI,🇨🇭,87
104918,21.04297571645219,73835.00251386737,19.0,3,Andy Murray,GBR,🇬🇧,76
104745,11.805592662020468,41423.13214744024,11.0,4,Rafael Nadal,ESP,🇪🇸,49
103970,23.99852885923703,84205.36441837554,23.0,5,David Ferrer,ESP,🇪🇸,91
104607,26.76402456925613,93908.8581377408,24.0,6,Tomas Berdych,CZE,🇨🇿,84
105223,19.458705700729777,68276.16035343781,20.0,7,Juan Martin del Potro,ARG,🇦🇷,82
104542,28.87744256393955,101324.35987347212,24.0,8,Jo-Wilfried Tsonga,FRA,🇫🇷,82
104386,30.590641288708245,107335.58346915174,27.0,9,Janko Tipsarevic,SRB,🇷🇸,85
104755,27.978024698592566,98168.5077143599,24.0,10,Richard Gasquet,FRA,🇫🇷,64
104597,24.355719364800333,85458.66443789589,24.0,11,Nicolas Almagro,ESP,🇪🇸,83
104338,25.811674148062956,90567.2777125016,22.0,12,Juan Monaco,ARG,🇦🇷,59
105683,32.85316237497165,115274.25394726898,24.0,13,Milos Raonic,CAN,🇨🇦,67
104545,23.846287873443515,83671.18552085443,21.0,14,John Isner,USA,🇺🇸,66
105227,18.51344260691415,64959.44774355843,21.0,15,Marin Cilic,CRO,🇭🇷,58
104468,29.4554455095944,103352.44038454178,25.0,16,Gilles Simon,FRA,🇫🇷,69
104527,21.558607323562196,75644.23622302525,19.0,17,Stan Wawrinka,SUI,🇨🇭,55
105238,29.091286188338447,102074.68838013487,26.0,18,Alexandr Dolgopolov,UKR,🇺🇦,59
105453,25.854671211908077,90718.14460318629,19.0,19,Kei Nishikori,JPN,🇯🇵,56
104259,29.16446034312268,102331.43980043048,26.0,20,Philipp Kohlschreiber,GER,🇩🇪,67
103163,19.921599510533884,69900.34915976803,18.0,21,Tommy Haas,GER,🇩🇪,48
105023,26.207618849082383,91956.55736520133,25.0,22,Sam Querrey,USA,🇺🇸,62
104312,26.9661256245714,94617.984647619,27.0,23,Andreas Seppi,ITA,🇮🇹,65
104269,24.13401182983519,84680.74326257965,22.0,24,Fernando Verdasco,ESP,🇪🇸,54
104022,22.8023726191364,80008.324979426,23.0,25,Mikhail Youzhny,RUS,🇷🇺,55
105668,4.449330920566447,15611.687440584024,4.0,26,Jerzy Janowicz,POL,🇵🇱,19
103888,17.861337112998484,62671.35829122274,12.0,27,Mardy Fish,USA,🇺🇸,33
104252,24.70587453973846,86687.27908680165,25.0,28,Florian Mayer,GER,🇩🇪,50
103781,25.09440167260837,88050.53218459079,24.0,29,Jurgen Melzer,AUT,🇦🇹,45
105373,16.464170679696764,57769.01992876058,16.0,30,Martin Klizan,SVK,🇸🇰,34
103285,19.347957562768578,67887.57039567924,21.0,31,Radek Stepanek,CZE,🇨🇿,50
104871,24.841137210579948,87161.88494940335,21.0,32,Jeremy Chardy,FRA,🇫🇷,44
105064,22.380875360451228,78529.38722965345,23.0,33,Thomaz Bellucci,BRA,🇧🇷,50
104719,19.064214405714,66891.9803709263,23.0,34,Marcel Granollers,ESP,🇪🇸,46
103898,20.487775320845273,71886.93095033432,22.0,35,Julien Benneteau,FRA,🇫🇷,50
104571,24.997169012054897,87709.36495457859,25.0,36,Marcos Baghdatis,CYP,🇨🇾,60
104731,25.398314055063196,89116.8914212744,27.0,37,Kevin Anderson,RSA,🇿🇦,57
104678,30.030428612181336,105369.92495502227,28.0,38,Viktor Troicki,SRB,🇷🇸,55
104053,15.377357839844167,53955.64154331288,16.0,39,Andy Roddick,USA,🇺🇸,39
103852,29.573461583100045,103766.53187052648,28.0,40,Feliciano Lopez,ESP,🇪🇸,53
103813,25.914283928556383,90927.3120300224,28.0,41,Jarkko Nieminen,FIN,🇫🇮,53
104665,31.031770436387717,108883.40503995688,30.0,42,Pablo Andujar,ESP,🇪🇸,48
104797,25.094662664547226,88051.44794577974,30.0,43,Denis Istomin,UZB,🇺🇿,63
103786,29.40433649754089,103173.11051768732,25.0,44,Nikolay Davydenko,RUS,🇷🇺,49
104926,22.191434399844457,77864.68210471739,25.0,45,Fabio Fognini,ITA,🇮🇹,46
105676,19.815387588710045,69527.6757498598,15.0,46,David Goffin,BEL,🇧🇪,31
105332,27.229780794369137,95543.09050655838,26.0,47,Benoit Paire,FRA,🇫🇷,52
