player,co2,km,tournaments,name,ioc,flag
103819,26.58841851205794,93292.69653353664,17.0,Roger Federer,SUI,🇨🇭
104053,27.931665703218997,98005.84457269825,20.0,Andy Roddick,USA,🇺🇸
103720,23.16358029200024,81275.72032280784,20.0,Lleyton Hewitt,AUS,🇦🇺
103498,34.12443456171219,119734.85811127082,24.0,Marat Safin,RUS,🇷🇺
102845,23.77157924029795,83409.04996595769,20.0,Carlos Moya,ESP,🇪🇸
102450,25.535077272091403,89596.76235821545,20.0,Tim Henman,GBR,🇬🇧
103909,19.11624476238163,67074.54302590045,15.0,Guillermo Coria,ARG,🇦🇷
101736,14.499565261470018,50875.66758410532,14.0,Andre Agassi,USA,🇺🇸
103900,15.58619672203832,54688.40955101164,14.0,David Nalbandian,ARG,🇦🇷
103292,20.61385036536723,72329.29952760432,24.0,Gaston Gaudio,ARG,🇦🇷
104026,17.12292508780145,60080.43890456649,23.0,Joachim Johansson,SWE,🇸🇪
103084,21.74959241038091,76314.35933466986,24.0,Guillermo Canas,ARG,🇦🇷
103990,23.738989015257104,83294.6982991477,26.0,Tommy Robredo,ESP,🇪🇸
103103,31.391316228854027,110144.9692240492,28.0,Dominik Hrbaty,SVK,🇸🇰
103206,15.406574395009146,54058.15577196191,15.0,Sebastien Grosjean,FRA,🇫🇷
104022,30.945071604964713,108579.19861391124,27.0,Mikhail Youzhny,RUS,🇷🇺
103163,15.198750792464184,53328.95014899714,22.0,Tommy Haas,GER,🇩🇪
102318,26.445599071832486,92791.5756906403,24.0,Andrei Pavel,ROU,🇷🇴
103454,23.065904053391993,80932.99667856838,30.0,Nicolas Massu,CHI,🇨🇱
102434,20.928467955361626,73433.2208960057,28.0,Vincent Spadea,USA,🇺🇸
103017,19.90080831064219,69827.39758120068,21.0,Nicolas Kiefer,GER,🇩🇪
103344,24.3802085818309,85544.59151519611,23.0,Ivan Ljubicic,CRO,🇭🇷
103602,20.402443680882836,71587.5216873082,23.0,Fernando Gonzalez,CHI,🇨🇱
102562,20.31408824770674,71277.5026235324,24.0,Jiri Novak,CZE,🇨🇿
103852,28.321339961172352,99373.12267078015,27.0,Feliciano Lopez,ESP,🇪🇸
103428,22.206472119901523,77917.44603474216,28.0,Juan Ignacio Chela,ARG,🇦🇷
103387,33.06707648902353,116024.82978604748,30.0,Paradorn Srichaphan,THA,🇹🇭
103786,26.63594541456315,93459.4575949584,31.0,Nikolay Davydenko,RUS,🇷🇺
104339,18.672820767123913,65518.6693583295,22.0,Mario Ancic,CRO,🇭🇷
102563,24.865649816223883,87247.89409201361,21.0,Thomas Johansson,SWE,🇸🇪
103507,15.147636410646497,53149.60144086489,16.0,Juan Carlos Ferrero,ESP,🇪🇸
103758,23.781055387990683,83442.29960698487,24.0,Taylor Dent,USA,🇺🇸
103285,23.25929991534705,81611.57865034053,24.0,Radek Stepanek,CZE,🇨🇿
104417,32.70161423633173,114742.50609239204,28.0,Robin Soderling,SWE,🇸🇪
104252,12.875026741950675,45175.53242789712,17.0,Florian Mayer,GER,🇩🇪
104269,21.9721587578951,77095.29388735122,26.0,Fernando Verdasco,ESP,🇪🇸
103888,17.336257960881856,60828.97530133983,18.0,Mardy Fish,USA,🇺🇸
103632,20.85857062794427,73187.96711559393,28.0,Luis Horna,PER,🇵🇪
103781,19.24150921092778,67514.06740676414,23.0,Jurgen Melzer,AUT,🇦🇹
102856,14.783515162514208,51871.98302636564,14.0,Gustavo Kuerten,BRA,🇧🇷
103566,12.184393476921944,42752.25781376121,13.0,Michael Llodra,FRA,🇫🇷
102783,28.92904294331748,101505.41383620168,30.0,Rainer Schuettler,GER,🇩🇪
103835,22.237997469940872,78028.06129803814,23.0,Filippo Volandri,ITA,🇮🇹
103971,21.18289111135696,74325.9337240595,21.0,Karol Beck,SVK,🇸🇰
104607,13.003052511070226,45624.74565287798,15.0,Tomas Berdych,CZE,🇨🇿
102257,12.914708939978564,45314.76821045111,16.0,Greg Rusedski,GBR,🇬🇧
103018,24.79290634116779,86992.65382865888,26.0,Max Mirnyi,BLR,🇧🇾
103598,18.47271180718562,64816.53265679163,26.0,Xavier Malisse,BEL,🇧🇪
103970,26.68405054867288,93628.24753920308,31.0,David Ferrer,ESP,🇪🇸
104214,29.63644722926243,103987.53413776292,27.0,Igor Andreev,RUS,🇷🇺
104745,27.323828222661746,95873.08148302363,18.0,Rafael Nadal,ESP,🇪🇸
102148,18.25608752626487,64056.4474605785,15.0,Fabrice Santoro,FRA,🇫🇷
102642,26.236988663368393,92059.60934515225,23.0,Cyril Saulnier,FRA,🇫🇷
103151,14.618653762748304,51293.52197455545,23.0,Mariano Zabaleta,ARG,🇦🇷
103280,12.460119070237408,43719.71603592074,17.0,Martin Verkerk,NED,🇳🇱
102610,18.092638005961987,63482.94037179645,23.0,Albert Costa,ESP,🇪🇸
102854,23.52105781344221,82530.0274155867,19.0,Sjeng Schalken,NED,🇳🇱
102860,20.53813140056859,72063.61894936347,18.0,Agustin Calleri,ARG,🇦🇷
