player,co2,km,tournaments,rank,name,ioc,flag,matches
104745,25.418998910739532,89189.46986224396,18.0,1,Rafael Nadal,ESP,🇪🇸,93
103819,25.1883554606441,88380.19459875124,19.0,2,Roger Federer,SUI,🇨🇭,83
104925,34.26130419027997,120215.102422035,19.0,3,Novak Djokovic,SRB,🇷🇸,81
104918,29.512131966583713,103551.34023362708,21.0,4,Andy Murray,GBR,🇬🇧,75
103786,31.256343897397077,109671.38209613008,22.0,5,Nikolay Davydenko,RUS,🇷🇺,78
104542,26.140662892940732,91721.62418575694,15.0,6,Jo-Wilfried Tsonga,FRA,🇫🇷,49
104468,30.44767258068857,106833.938879609,28.0,7,Gilles Simon,FRA,🇫🇷,79
104053,29.33958283300599,102945.904677214,19.0,8,Andy Roddick,USA,🇺🇸,68
105223,20.95119322210142,73512.95867404007,18.0,9,Juan Martin del Potro,ARG,🇦🇷,63
103484,23.026794925999383,80795.7716701733,22.0,10,James Blake,USA,🇺🇸,72
103900,18.90015220920121,66316.32354105689,17.0,11,David Nalbandian,ARG,🇦🇷,60
103970,31.554801794251897,110718.60278684874,24.0,12,David Ferrer,ESP,🇪🇸,67
104527,25.02525659433193,87807.91787484886,20.0,13,Stan Wawrinka,SUI,🇨🇭,59
104792,26.028458770547253,91327.92551069212,17.0,14,Gael Monfils,FRA,🇫🇷,47
103602,25.727282518832578,90271.1667327459,18.0,15,Fernando Gonzalez,CHI,🇨🇱,56
104269,29.79911068406163,104558.2831019706,28.0,16,Fernando Verdasco,ESP,🇪🇸,74
104417,25.438110064927727,89256.52654360604,22.0,17,Robin Soderling,SWE,🇸🇪,66
104597,21.286875530250175,74690.79133421114,19.0,18,Nicolas Almagro,ESP,🇪🇸,53
104214,32.91232495447446,115481.8419455244,28.0,19,Igor Andreev,RUS,🇷🇺,75
104607,33.02644563098883,115882.26537189064,21.0,20,Tomas Berdych,CZE,🇨🇿,57
103990,28.90495427011207,101420.89217583185,23.0,21,Tommy Robredo,ESP,🇪🇸,60
104098,28.368585887941265,99538.89785242548,24.0,22,Dmitry Tursunov,RUS,🇷🇺,59
105227,27.88500884364871,97842.13629350426,24.0,23,Marin Cilic,CRO,🇭🇷,62
103888,20.028609663621648,70275.82338112859,23.0,24,Mardy Fish,USA,🇺🇸,55
104755,25.68491175057669,90122.49737044451,21.0,25,Richard Gasquet,FRA,🇫🇷,54
103333,18.63780064869242,65395.791749797965,25.0,26,Ivo Karlovic,CRO,🇭🇷,57
103285,23.80585731759069,83529.32392137084,22.0,27,Radek Stepanek,CZE,🇨🇿,57
104259,21.140861413179216,74178.46109887444,20.0,28,Philipp Kohlschreiber,GER,🇩🇪,54
103498,22.772164314931977,79902.33092958588,23.0,29,Marat Safin,RUS,🇷🇺,49
103852,22.625712297518323,79388.46420181869,25.0,30,Feliciano Lopez,ESP,🇪🇸,53
103908,28.744262239180564,100857.06048835284,25.0,31,Paul Henri Mathieu,FRA,🇫🇷,60
104022,25.92328376374941,90958.89039912072,21.0,32,Mikhail Youzhny,RUS,🇷🇺,50
102783,29.360914611014596,103020.75302110388,22.0,33,Rainer Schuettler,GER,🇩🇪,44
103781,24.7699169044563,86911.98913844312,23.0,34,Jurgen Melzer,AUT,🇦🇹,56
104312,25.445464581182645,89282.33186379875,27.0,35,Andreas Seppi,ITA,🇮🇹,60
104339,12.2900578198088,43123.00989406596,17.0,36,Mario Ancic,CRO,🇭🇷,49
103813,34.72728788471315,121850.13292881809,26.0,37,Jarkko Nieminen,FIN,🇫🇮,54
103017,17.74593794932056,62266.4489449844,17.0,38,Nicolas Kiefer,GER,🇩🇪,43
105023,29.19614476273128,102442.61320256587,24.0,39,Sam Querrey,USA,🇺🇸,54
103566,25.16724344941497,88306.11736636831,21.0,40,Michael Llodra,FRA,🇫🇷,44
104620,31.986525454580473,112233.4226476508,28.0,41,Simone Bolelli,ITA,🇮🇹,59
102845,21.12362282980792,74117.9748414313,22.0,42,Carlos Moya,ESP,🇪🇸,51
103898,25.43291526189181,89238.29916453265,19.0,43,Julien Benneteau,FRA,🇫🇷,42
103344,13.734794441304462,48192.26119755952,18.0,44,Ivan Ljubicic,CRO,🇭🇷,39
103656,20.41088467968556,71617.13922696687,23.0,45,Albert Montanes,ESP,🇪🇸,47
104338,19.89303439715115,69800.12069175842,21.0,46,Juan Monaco,ARG,🇦🇷,49
103857,11.867213675510484,41639.346229861345,15.0,47,Igor Kunitsyn,RUS,🇷🇺,29
104076,19.698736286678805,69118.3729357151,23.0,48,Jose Acasuso,ARG,🇦🇷,53
104386,26.66725418052335,93569.31291411702,21.0,49,Janko Tipsarevic,SRB,🇷🇸,49
103812,20.46807595957359,71817.81038446871,22.0,50,Victor Hanescu,ROU,🇷🇴,46
104068,18.636673607812774,65391.83722039568,20.0,51,Robby Ginepri,USA,🇺🇸,45
102148,22.92047935309068,80422.73457224801,17.0,52,Fabrice Santoro,FRA,🇫🇷,35
105208,25.275332772697993,88685.37814981751,20.0,53,Ernests Gulbis,LAT,,46
102967,19.5655988603481,68651.22407139683,23.0,54,Marc Gicquel,FRA,🇫🇷,45
103507,19.68301039379746,69063.19436420161,15.0,55,Juan Carlos Ferrero,ESP,🇪🇸,36
104719,15.949132013208295,55961.86671301158,21.0,56,Marcel Granollers,ESP,🇪🇸,35
104678,22.07657239894202,77461.65754014744,18.0,57,Viktor Troicki,SRB,🇷🇸,41
104724,10.03852508257174,35222.895026567516,15.0,58,Eduardo Schwank,ARG,🇦🇷,30
103722,20.72860425275192,72731.94474649797,23.0,59,Florent Serra,FRA,🇫🇷,44
102860,20.06234162362516,70394.18113552684,21.0,60,Agustin Calleri,ARG,🇦🇷,45
104327,17.09566276061839,59984.78161620487,20.0,61,Steve Darcis,BEL,🇧🇪,44
104198,25.537865293086085,89606.54488802134,21.0,62,Guillermo Garcia Lopez,ESP,🇪🇸,44
105453,16.263429591394363,57064.66523296268,12.0,63,Kei Nishikori,JPN,🇯🇵,29
104229,22.43952593597326,78735.17872271322,14.0,64,Yen Hsun Lu,TPE,,26
