player,co2,km,tournaments,name,ioc,flag
207989,19.140541875879116,67159.79605571622,17.0,Carlos Alcaraz,ESP,🇪🇸
104745,13.396527070781636,47005.358143093465,11.0,Rafael Nadal,ESP,🇪🇸
134770,23.979466671618255,84138.47954953775,24.0,Casper Ruud,NOR,🇳🇴
126774,23.107763392703426,81079.87155334538,25.0,Stefanos Tsitsipas,GRE,
104925,6.555668330187004,23002.34501820001,12.0,Novak Djokovic,SRB,🇷🇸
200000,24.61134275447801,86355.58861220353,28.0,Felix Auger Aliassime,CAN,🇨🇦
106421,19.932630162517636,69939.05320181628,19.0,Daniil Medvedev,RUS,🇷🇺
126094,25.51687938219637,89532.91011296974,23.0,Andrey Rublev,RUS,🇷🇺
126203,22.61133786200293,79338.02758597519,22.0,Taylor Fritz,USA,🇺🇸
128034,25.128004642372,88168.43734165616,22.0,Hubert Hurkacz,POL,🇵🇱
208029,32.24155653717068,113128.26855147608,27.0,Holger Rune,DEN,🇩🇰
100644,13.032557104631218,45728.27054256569,11.0,Alexander Zverev,GER,🇩🇪
105807,24.31664523029887,85321.56221157503,25.0,Pablo Carreno Busta,ESP,🇪🇸
111815,26.24615648896149,92091.77715425084,25.0,Cameron Norrie,GBR,🇬🇧
206173,23.31368029371488,81802.38699549082,18.0,Jannik Sinner,ITA,🇮🇹
126610,16.421488240669433,57619.25698480503,14.0,Matteo Berrettini,ITA,🇮🇹
105227,21.59500189347021,75771.93646831652,20.0,Marin Cilic,CRO,🇭🇷
133430,25.275116038387196,88684.61767855159,24.0,Denis Shapovalov,CAN,🇨🇦
126207,22.177501908529894,77815.79617028034,24.0,Frances Tiafoe,USA,🇺🇸
111575,24.732932923453703,86782.22078404811,25.0,Karen Khachanov,RUS,🇷🇺
105138,24.41834081032658,85678.38880816345,22.0,Roberto Bautista Agut,ESP,🇪🇸
106401,15.267183125343376,53569.063597696055,13.0,Nick Kyrgios,AUS,🇦🇺
207518,26.625791727280493,93423.83062203684,28.0,Lorenzo Musetti,ITA,🇮🇹
200282,27.796047458350824,97529.99108193272,26.0,Alex De Minaur,AUS,🇦🇺
106043,24.709457200723612,86699.84982710042,25.0,Diego Schwartzman,ARG,🇦🇷
106432,13.299104211461785,46663.52354898871,13.0,Borna Coric,CRO,🇭🇷
105554,23.79748434299213,83499.94506313032,27.0,Daniel Evans,GBR,🇬🇧
105777,23.221102569104666,81477.55287405144,21.0,Grigor Dimitrov,BUL,
200175,24.54428897511852,86120.31219339832,24.0,Miomir Kecmanovic,SRB,🇷🇸
