player,co2,km,tournaments,name,ioc,flag
104925,23.369383795565557,81997.83787917742,16.0,Novak Djokovic,SRB,🇷🇸
104918,24.691683548814087,86637.48613618978,18.0,Andy Murray,GBR,🇬🇧
103819,21.030175985884068,73790.09117854059,17.0,Roger Federer,SUI,🇨🇭
104527,25.452261571185808,89306.18095152917,22.0,Stan Wawrinka,SUI,🇨🇭
104745,24.47840605169535,85889.14404103634,23.0,Rafael Nadal,ESP,🇪🇸
104607,28.680924839496644,100634.82399823384,22.0,Tomas Berdych,CZE,🇨🇿
103970,24.687432684575164,86622.57082307075,19.0,David Ferrer,ESP,🇪🇸
105453,20.417478940297993,71640.27698350174,19.0,Kei Nishikori,JPN,🇯🇵
104755,25.73285766646248,90290.72865425434,19.0,Richard Gasquet,FRA,🇫🇷
104542,13.280336448548823,46597.67174929412,16.0,Jo-Wilfried Tsonga,FRA,🇫🇷
104545,21.429489461319108,75191.19109234774,24.0,John Isner,USA,🇺🇸
104731,22.498571364663984,78942.35566548766,25.0,Kevin Anderson,RSA,🇿🇦
105227,15.598210967009711,54730.56479652531,20.0,Marin Cilic,CRO,🇭🇷
105683,19.092533035101876,66991.34398281363,16.0,Milos Raonic,CAN,🇨🇦
104468,23.761668202176978,83374.27439360342,23.0,Gilles Simon,FRA,🇫🇷
105676,26.62420109965488,93418.24947247328,24.0,David Goffin,BEL,🇧🇪
103852,33.56216410290321,117761.97930843236,26.0,Feliciano Lopez,ESP,🇪🇸
106071,24.20459658976488,84928.4090868943,28.0,Bernard Tomic,AUS,🇦🇺
105332,12.01191255548393,42147.061598189226,18.0,Benoit Paire,FRA,🇫🇷
106233,26.16186477596078,91796.01675775716,29.0,Dominic Thiem,AUT,🇦🇹
104926,22.800199184479133,80000.69889290923,25.0,Fabio Fognini,ITA,🇮🇹
104678,26.476402829333267,92899.6590502922,28.0,Viktor Troicki,SRB,🇷🇸
103333,31.562819298673563,110746.73438131071,26.0,Ivo Karlovic,CRO,🇭🇷
