player,co2,km,tournaments,name,ioc,flag
103720,19.751465727189505,69303.38851645439,20.0,Lleyton Hewitt,AUS,🇦🇺
101736,14.312394209068689,50218.92704936381,16.0,Andre Agassi,USA,🇺🇸
103498,26.36275138951156,92500.8820684616,23.0,Marat Safin,RUS,🇷🇺
103507,24.196685771390054,84900.65182943881,25.0,Juan Carlos Ferrero,ESP,🇪🇸
102845,23.543413356952865,82608.46791913286,25.0,Carlos Moya,ESP,🇪🇸
103819,28.09446994306384,98577.08751952226,26.0,Roger Federer,SUI,🇨🇭
102562,25.30457437901497,88787.98027724552,25.0,Jiri Novak,CZE,🇨🇿
102450,19.391037337270426,68038.72749919446,19.0,Tim Henman,GBR,🇬🇧
102610,24.56653158911483,86198.3564530345,24.0,Albert Costa,ESP,🇪🇸
104053,21.26722571058001,74621.84459852632,22.0,Andy Roddick,USA,🇺🇸
103163,24.34682365544769,85427.45142262343,23.0,Tommy Haas,GER,🇩🇪
103900,18.83912491057883,66102.19266869768,25.0,David Nalbandian,ARG,🇦🇷
101948,11.858908609151529,41610.20564614571,15.0,Pete Sampras,USA,🇺🇸
102563,24.810376878492995,87053.95395962453,23.0,Thomas Johansson,SWE,🇸🇪
103084,19.77444911075171,69384.03196754986,25.0,Guillermo Canas,ARG,🇦🇷
103387,27.867706413495977,97781.42601226656,25.0,Paradorn Srichaphan,THA,🇹🇭
103206,22.953875443014283,80539.91383513782,21.0,Sebastien Grosjean,FRA,🇫🇷
103602,17.32355281108605,60784.39582837211,23.0,Fernando Gonzalez,CHI,🇨🇱
102374,18.70791265037384,65641.79877324155,20.0,Alex Corretja,ESP,🇪🇸
102854,27.30529548736429,95808.05434162907,27.0,Sjeng Schalken,NED,🇳🇱
103292,17.19010206765079,60316.147605792255,19.0,Gaston Gaudio,ARG,🇦🇷
101962,24.876571196144745,87286.21472331489,28.0,Younes El Aynaoui,MAR,🇲🇦
103428,25.940910980505596,91020.7402824758,28.0,Juan Ignacio Chela,ARG,🇦🇷
102701,18.05696676433479,63357.77812047292,18.0,Marcelo Rios,CHI,🇨🇱
103598,17.664573259831645,61980.95880642682,23.0,Xavier Malisse,BEL,🇧🇪
102318,25.19134689808855,88390.69087048616,26.0,Andrei Pavel,ROU,🇷🇴
102338,25.774715272956584,90437.59744897048,26.0,Yevgeny Kafelnikov,RUS,🇷🇺
103484,25.13138676799031,88180.30444908883,24.0,James Blake,USA,🇺🇸
102839,22.98645554072373,80654.2299674517,28.0,Nicolas Lapentti,ECU,🇪🇨
103990,25.567912268870376,89711.9728732294,25.0,Tommy Robredo,ESP,🇪🇸
102257,15.709025658461938,55119.38827530505,17.0,Greg Rusedski,GBR,🇬🇧
104022,20.33879654128277,71364.19839046587,23.0,Mikhail Youzhny,RUS,🇷🇺
