player,co2,km,tournaments,name,ioc,flag
104925,20.497806506077,71922.12809149828,17.0,Novak Djokovic,SRB,🇷🇸
103819,25.90212287428296,90884.64166415074,17.0,Roger Federer,SUI,🇨🇭
104918,21.04297571645219,73835.00251386737,19.0,Andy Murray,GBR,🇬🇧
104745,11.805592662020468,41423.13214744024,11.0,Rafael Nadal,ESP,🇪🇸
103970,23.99852885923703,84205.36441837554,23.0,David Ferrer,ESP,🇪🇸
104607,26.76402456925613,93908.8581377408,24.0,Tomas Berdych,CZE,🇨🇿
105223,19.458705700729777,68276.16035343781,20.0,Juan Martin del Potro,ARG,🇦🇷
104542,28.87744256393955,101324.35987347212,24.0,Jo-Wilfried Tsonga,FRA,🇫🇷
104386,30.590641288708245,107335.58346915174,27.0,Janko Tipsarevic,SRB,🇷🇸
104755,27.978024698592566,98168.5077143599,24.0,Richard Gasquet,FRA,🇫🇷
104597,24.355719364800333,85458.66443789589,24.0,Nicolas Almagro,ESP,🇪🇸
104338,25.811674148062956,90567.2777125016,22.0,Juan Monaco,ARG,🇦🇷
105683,32.85316237497165,115274.25394726898,24.0,Milos Raonic,CAN,🇨🇦
104545,23.846287873443515,83671.18552085443,21.0,John Isner,USA,🇺🇸
105227,18.51344260691415,64959.44774355843,21.0,Marin Cilic,CRO,🇭🇷
104468,29.4554455095944,103352.44038454178,25.0,Gilles Simon,FRA,🇫🇷
104527,21.558607323562196,75644.23622302525,19.0,Stan Wawrinka,SUI,🇨🇭
105238,29.091286188338447,102074.68838013487,26.0,Alexandr Dolgopolov,UKR,🇺🇦
105453,25.854671211908077,90718.14460318629,19.0,Kei Nishikori,JPN,🇯🇵
104259,29.16446034312268,102331.43980043048,26.0,Philipp Kohlschreiber,GER,🇩🇪
103163,19.921599510533884,69900.34915976803,18.0,Tommy Haas,GER,🇩🇪
105023,26.207618849082383,91956.55736520133,25.0,Sam Querrey,USA,🇺🇸
104312,26.9661256245714,94617.984647619,27.0,Andreas Seppi,ITA,🇮🇹
104269,24.13401182983519,84680.74326257965,22.0,Fernando Verdasco,ESP,🇪🇸
104022,22.8023726191364,80008.324979426,23.0,Mikhail Youzhny,RUS,🇷🇺
105668,4.449330920566447,15611.687440584024,4.0,Jerzy Janowicz,POL,🇵🇱
103888,17.861337112998484,62671.35829122274,12.0,Mardy Fish,USA,🇺🇸
104252,24.70587453973846,86687.27908680165,25.0,Florian Mayer,GER,🇩🇪
103781,25.09440167260837,88050.53218459079,24.0,Jurgen Melzer,AUT,🇦🇹
105373,16.464170679696764,57769.01992876058,16.0,Martin Klizan,SVK,🇸🇰
103285,19.347957562768578,67887.57039567924,21.0,Radek Stepanek,CZE,🇨🇿
104871,24.841137210579948,87161.88494940335,21.0,Jeremy Chardy,FRA,🇫🇷
105064,22.380875360451228,78529.38722965345,23.0,Thomaz Bellucci,BRA,🇧🇷
104719,19.064214405714,66891.9803709263,23.0,Marcel Granollers,ESP,🇪🇸
103898,20.487775320845273,71886.93095033432,22.0,Julien Benneteau,FRA,🇫🇷
104571,24.997169012054897,87709.36495457859,25.0,Marcos Baghdatis,CYP,🇨🇾
104731,25.398314055063196,89116.8914212744,27.0,Kevin Anderson,RSA,🇿🇦
104678,30.030428612181336,105369.92495502227,28.0,Viktor Troicki,SRB,🇷🇸
104053,15.377357839844167,53955.64154331288,16.0,Andy Roddick,USA,🇺🇸
103852,29.573461583100045,103766.53187052648,28.0,Feliciano Lopez,ESP,🇪🇸
103813,25.914283928556383,90927.3120300224,28.0,Jarkko Nieminen,FIN,🇫🇮
104665,31.031770436387717,108883.40503995688,30.0,Pablo Andujar,ESP,🇪🇸
104797,25.094662664547226,88051.44794577974,30.0,Denis Istomin,UZB,🇺🇿
103786,29.40433649754089,103173.11051768732,25.0,Nikolay Davydenko,RUS,🇷🇺
104926,22.191434399844457,77864.68210471739,25.0,Fabio Fognini,ITA,🇮🇹
105676,19.815387588710045,69527.6757498598,15.0,David Goffin,BEL,🇧🇪
105332,27.229780794369137,95543.09050655838,26.0,Benoit Paire,FRA,🇫🇷
105777,26.37925229315238,92558.77997597327,20.0,Grigor Dimitrov,BUL,
104594,22.82820524768992,80098.96578136814,19.0,Marinko Matosevic,AUS,🇦🇺
105077,32.987269173363636,115744.8041170654,30.0,Albert Ramos,ESP,🇪🇸
105041,25.92957173256894,90980.95344761031,20.0,Lukas Lacko,SVK,🇸🇰
106071,24.10154227292132,84566.8149927064,26.0,Bernard Tomic,AUS,🇦🇺
103566,17.850041228111927,62631.72360741027,14.0,Michael Llodra,FRA,🇫🇷
104268,22.98012018556367,80632.00065110062,24.0,Alejandro Falla,COL,🇨🇴
104813,5.50740219502639,19324.21822816277,7.0,Grega Zemlja,SLO,
104898,27.042969098108088,94887.6108705547,28.0,Robin Haase,NED,🇳🇱
105053,17.263378869171074,60573.25919007395,20.0,Santiago Giraldo,COL,🇨🇴
103908,7.646197255056553,26828.76229844405,17.0,Paul Henri Mathieu,FRA,🇫🇷
104229,19.410113540067226,68105.66154409555,18.0,Yen Hsun Lu,TPE,
104424,22.626049772204414,79389.64832352428,18.0,Go Soeda,JPN,🇯🇵
