id,date,venue,name,winner,cat,coords
0,"29 December, 2023 - 7 January, 2024","Sydney, Australia",United Cup,,unitedcup,"(-33.8698439, 151.2082848)"
0,"29 December, 2023 - 7 January, 2024","Perth, Australia",United Cup,,unitedcup,"(-31.9558933, 115.8605855)"
2,"31 December, 2023 - 7 January, 2024","Brisbane, Australia",Brisbane International presented by Evie,Grigor Dimitrov,ATP 250,"(-27.4689682, 153.0234991)"
3,"1 - 7 January, 2024","Hong Kong, Hong Kong",Bank of China Hong Kong Tennis Open,Andrey Rublev,ATP 250,"(22.2793278, 114.1628131)"
4,"8 - 13 January, 2024","Adelaide, Australia",Adelaide International,Jiri Lehecka,ATP 250,"(-34.9281805, 138.5999312)"
5,"8 - 13 January, 2024","Auckland, New Zealand",ASB Classic,Alejandro Tabilo,ATP 250,"(-36.852095, 174.7631803)"
6,"14 - 28 January, 2024","Melbourne, Australia",Australian Open,Jannik Sinner,Grand Slam,"(-37.8142454, 144.9631732)"
7,"29 January - 4 February, 2024","Montpellier, France",Open Sud de France – Montpellier,Alexander Bublik,ATP 250,"(43.6112422, 3.8767337)"
8,"1 - 4 February, 2024","Multiple Locations,",Davis Cup Qualifiers,,Davis Cup,"(None, None)"
9,"5 - 11 February, 2024","Dallas, United States",Dallas Open,Tommy Paul,ATP 250,"(32.7762719, -96.7968559)"
10,"5 - 11 February, 2024","Marseille, France",Open 13 Provence,Ugo Humbert,ATP 250,"(43.2961743, 5.3699525)"
11,"5 - 11 February, 2024","Cordoba, Argentina",Cordoba Open,Luciano Darderi,ATP 250,"(-31.4166867, -64.1834193)"
12,"12 - 18 February, 2024","Rotterdam, Netherlands",ABN AMRO Open,Jannik Sinner,ATP 500,"(51.9244424, 4.47775)"
13,"12 - 18 February, 2024","Delray Beach, United States",Delray Beach Open,Taylor Fritz,ATP 250,"(26.4614625, -80.0728201)"
14,"12 - 18 February, 2024","Buenos Aires, Argentina",IEB+ Argentina Open,Facundo Diaz Acosta,ATP 250,"(-34.6037181, -58.38153)"
15,"19 - 25 February, 2024","Rio de Janeiro, Brazil",Rio Open presented by Claro,Sebastian Baez,ATP 500,"(-22.9110137, -43.2093727)"
16,"19 - 24 February, 2024","Doha, Qatar",Qatar ExxonMobil Open,Karen Khachanov,ATP 250,"(25.2856329, 51.5264162)"
17,"19 - 24 February, 2024","Los Cabos, Mexico",Mifel Tennis Open by Telcel Oppo,Jordan Thompson,ATP 250,"(21.166121, -100.936442)"
18,"26 February - 2 March, 2024","Dubai, United Arab Emirates",Dubai Duty Free Tennis Championships,Ugo Humbert,ATP 500,"(25.074282349999997, 55.18853865430702)"
19,"26 February - 2 March, 2024","Acapulco, Mexico",Abierto Mexicano Telcel presentado por HSBC,Alex de Minaur,ATP 500,"(16.8680495, -99.8940182)"
20,"26 February - 3 March, 2024","Santiago, Chile",Movistar Chile Open,Sebastian Baez,ATP 250,"(-33.4377756, -70.6504502)"
21,"6 - 17 March, 2024","Indian Wells, United States",BNP Paribas Open,Carlos Alcaraz,ATP 1000,"(33.7217965, -116.338303)"
22,"20 - 31 March, 2024","Miami, United States",Miami Open presented by Itau,,ATP 1000,"(25.7741728, -80.19362)"
23,"1 - 7 April, 2024","Houston, United States",Fayez Sarofim & Co. U.S. Men's Clay Court Championship,,ATP 250,"(29.7589382, -95.3676974)"
